account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn,total_charges,total_calls,total_minutes,charge_per_minute,avg_charge_per_minute,frac_intl_calls,day_minutes_to_charges,eve_minutes_to_charges,night_minutes_to_charges,intl_minutes_to_charges,day_calls_to_minutes,eve_calls_to_minutes,night_calls_to_minutes,intl_calls_to_minutes
56.0,0.0,0.0,0.0,164.3,92.0,27.93,233.7,107.0,19.86,187.3,104.0,8.43,11.8,1.0,3.19,2.0,no,59.41,304.0,597.0999999999999,0.09949757159604758,0.09949757159604758,0.003289473684210526,5.882563551736484,11.76737160120846,22.218268090154215,3.699059561128527,0.5599513085818624,0.45785194694052206,0.5552589428723972,0.0847457627118644
137.0,0.0,0.0,0.0,205.9,88.0,35.0,209.3,86.0,17.79,289.9,84.0,13.05,14.5,4.0,3.92,2.0,no,69.76,262.0,719.6,0.09694274596998333,0.09694274596998333,0.015267175572519083,5.8828571428571435,11.765036537380553,22.21455938697318,3.6989795918367347,0.42739193783389995,0.4108934543717152,0.289755087961366,0.27586206896551724
138.0,0.0,0.0,0.0,89.1,117.0,15.15,126.8,51.0,10.78,190.5,71.0,8.57,9.9,4.0,2.67,2.0,no,37.17,243.0,416.29999999999995,0.08928657218352151,0.08928657218352151,0.01646090534979424,5.881188118811881,11.76252319109462,22.228704784130688,3.707865168539326,1.3131313131313131,0.4022082018927445,0.37270341207349084,0.40404040404040403
52.0,0.0,0.0,0.0,209.8,114.0,35.67,171.3,82.0,14.56,154.6,119.0,6.96,9.9,9.0,2.67,4.0,no,59.86000000000001,324.0,545.6,0.10971407624633432,0.10971407624633432,0.027777777777777776,5.881693299691618,11.76510989010989,22.21264367816092,3.707865168539326,0.5433746425166825,0.47869235259778165,0.7697283311772316,0.9090909090909091
21.0,0.0,0.0,0.0,91.9,109.0,15.62,198.4,111.0,16.86,171.7,125.0,7.73,13.0,7.0,3.51,2.0,no,43.71999999999999,352.0,475.0,0.09204210526315788,0.09204210526315788,0.019886363636363636,5.883482714468631,11.76749703440095,22.212160413971535,3.7037037037037037,1.1860718171926006,0.5594758064516129,0.7280139778683751,0.5384615384615384
33.0,0.0,0.0,0.0,159.5,115.0,27.12,195.4,118.0,16.61,102.4,86.0,4.61,7.1,7.0,1.92,1.0,no,50.260000000000005,326.0,464.4,0.10822566752799312,0.10822566752799312,0.02147239263803681,5.8812684365781704,11.763997591812162,22.212581344902386,3.6979166666666665,0.7210031347962382,0.6038894575230297,0.83984375,0.9859154929577465
81.0,1.0,0.0,0.0,250.6,85.0,42.6,187.9,51.0,15.97,120.3,131.0,5.41,7.8,5.0,2.11,1.0,no,66.09,272.0,566.5999999999999,0.11664313448641019,0.11664313448641019,0.01838235294117647,5.88262910798122,11.76581089542893,22.236598890942698,3.6966824644549763,0.3391859537110934,0.27142096860031933,1.088944305901912,0.6410256410256411
115.0,0.0,1.0,33.0,145.0,72.0,24.65,194.5,147.0,16.53,242.3,138.0,10.9,14.2,3.0,3.83,2.0,no,55.91,360.0,596.0,0.09380872483221477,0.09380872483221477,0.008333333333333333,5.882352941176471,11.7664851784634,22.22935779816514,3.7075718015665795,0.496551724137931,0.7557840616966581,0.569541890218737,0.21126760563380284
78.0,0.0,0.0,0.0,137.4,109.0,23.36,237.6,51.0,20.2,206.7,136.0,9.3,14.0,11.0,3.78,3.0,no,56.64,307.0,595.7,0.09508141682054724,0.09508141682054724,0.035830618892508145,5.881849315068494,11.762376237623762,22.2258064516129,3.7037037037037037,0.7933042212518194,0.21464646464646464,0.6579583938074505,0.7857142857142857
185.0,0.0,0.0,0.0,158.5,93.0,26.95,294.7,69.0,25.05,146.2,116.0,6.58,16.6,3.0,4.48,0.0,no,63.06,281.0,616.0,0.10237012987012988,0.10237012987012988,0.010676156583629894,5.88126159554731,11.764471057884231,22.21884498480243,3.705357142857143,0.5867507886435331,0.23413640990838142,0.7934336525307798,0.18072289156626503
